source|relation|target
Aktuelle Themen des Informatikunterrichts|Vorlesungsnummer|12454
Aktuelle Themen des Informatikunterrichts|Veranstaltungsart|Vorlesung & Übung
Aktuelle Themen des Informatikunterrichts|Dozent|Matthias Ehmann
Aktuelle Themen des Informatikunterrichts|Veranstaltung von|Didaktik der Informatik
Algorithmen und Datenstrukturen I|Vorlesungsnummer|12023
Algorithmen und Datenstrukturen I|Veranstaltungsart|Vorlesung
Algorithmen und Datenstrukturen I|Dozent|Christian Knauer
Algorithmen und Datenstrukturen I|Veranstaltung von|Professur Angewandte Informatik VI
Analysis II|Vorlesungsnummer|10001
Analysis II|Veranstaltungsart|Vorlesung & Übung
Analysis II|Dozent|Thomas Peternell
Analysis II|Veranstaltung von|Lehrstuhl für Mathematik I - Komplexe Analysis - Prof. Dr. Thomas Peternell
Analysis II (nicht vertieft)|Vorlesungsnummer|10016
Analysis II (nicht vertieft)|Veranstaltungsart|Vorlesung & Übung
Analysis II (nicht vertieft)|Dozent|Ulrike Peternell
Analysis II (nicht vertieft)|Veranstaltung von|Lehrstuhl für Mathematik I - Komplexe Analysis - Prof. Dr. Thomas Peternell
Analytische Zahlentheorie|Vorlesungsnummer|10302
Analytische Zahlentheorie|Veranstaltungsart|Vorlesung & Übung
Analytische Zahlentheorie|Dozent|Stefan Reiter
Analytische Zahlentheorie|Veranstaltung von|Lehrstuhl Mathematik IV – Zahlentheorie
Anleitung zu selbständigem wissenschaftlichen Arbeiten|Vorlesungsnummer|14378
Anleitung zu selbständigem wissenschaftlichen Arbeiten|Veranstaltungsart|Kurs
Anleitung zu selbständigem wissenschaftlichen Arbeiten|Dozent|Holger Kreß
Anleitung zu selbständigem wissenschaftlichen Arbeiten|Veranstaltung von|Experimentalphysik VI
Anleitung zu selbstständigem wissenschaftlichen Arbeiten|Vorlesungsnummer|14390
Anleitung zu selbstständigem wissenschaftlichen Arbeiten|Veranstaltungsart|Seminar
Anleitung zu selbstständigem wissenschaftlichen Arbeiten|Dozent|Ingo Rehberg
Anleitung zu selbstständigem wissenschaftlichen Arbeiten|Veranstaltung von|Experimentalphysik V
Anleitung zu selbstständigem wissenschaftlichen Arbeiten|Vorlesungsnummer|14389
Anleitung zu selbstständigem wissenschaftlichen Arbeiten|Veranstaltungsart|Kurs
Anleitung zu selbstständigem wissenschaftlichen Arbeiten|Dozent|Stephan Gekle
Anleitung zu selbstständigem wissenschaftlichen Arbeiten|Veranstaltung von|Biofluid Simulation and Modeling - Theoretische Physik VI - Prof. Dr. Stephan Gekle
Anleitung zu selbstständigem wissenschaftlichen Arbeiten|Vorlesungsnummer|14374
Anleitung zu selbstständigem wissenschaftlichen Arbeiten|Veranstaltungsart|Tutorium
Anleitung zu selbstständigem wissenschaftlichen Arbeiten|Dozent|Lothar Kador
Anleitung zu selbstständigem wissenschaftlichen Arbeiten|Veranstaltung von|Experimentalphysik
Anleitung zu selbstständigem wissenschaftlichen Arbeiten|Vorlesungsnummer|14377
Anleitung zu selbstständigem wissenschaftlichen Arbeiten|Veranstaltungsart|Seminar
Anleitung zu selbstständigem wissenschaftlichen Arbeiten|Dozent|Werner Köhler
Anleitung zu selbstständigem wissenschaftlichen Arbeiten|Veranstaltung von|Experimentalphysik IV
Anleitung zu selbstständigem wissenschaftlichen Arbeiten|Vorlesungsnummer|14372
Anleitung zu selbstständigem wissenschaftlichen Arbeiten|Veranstaltungsart|Kurs
Anleitung zu selbstständigem wissenschaftlichen Arbeiten|Dozent|Axel Enders
Anleitung zu selbstständigem wissenschaftlichen Arbeiten|Veranstaltung von|Experimentalphysik XI
Anleitung zu selbstständigem wissenschaftlichen Arbeiten|Vorlesungsnummer|14373
Anleitung zu selbstständigem wissenschaftlichen Arbeiten|Veranstaltungsart|Kurs
Anleitung zu selbstständigem wissenschaftlichen Arbeiten|Dozent|Thomas Fischer
Anleitung zu selbstständigem wissenschaftlichen Arbeiten|Veranstaltung von|Experimentalphysik X
Anleitung zu selbstständigem wissenschaftlichen Arbeiten|Vorlesungsnummer|14388
Anleitung zu selbstständigem wissenschaftlichen Arbeiten|Veranstaltungsart|Kurs
Anleitung zu selbstständigem wissenschaftlichen Arbeiten|Dozent|Walter Zimmermann
Anleitung zu selbstständigem wissenschaftlichen Arbeiten|Veranstaltung von|Theoretische Physik I
Anleitung zu selbstständigem wissenschaftlichen Arbeiten|Vorlesungsnummer|14376
Anleitung zu selbstständigem wissenschaftlichen Arbeiten|Veranstaltungsart|Kurs
Anleitung zu selbstständigem wissenschaftlichen Arbeiten|Dozent|Jürgen Köhler
Anleitung zu selbstständigem wissenschaftlichen Arbeiten|Veranstaltung von|Lehrstuhl für Spektroskopie weicher Materie
Anleitung zum selbständigen wissenschaftlichen Arbeiten|Vorlesungsnummer|14305
Anleitung zum selbständigen wissenschaftlichen Arbeiten|Veranstaltungsart|Seminar
Anleitung zum selbständigen wissenschaftlichen Arbeiten|Dozent|Annette Köhler
Anleitung zum selbständigen wissenschaftlichen Arbeiten|Veranstaltung von|Experimentalphysik II
Aufbau der Materie II (FW-EPM2)|Vorlesungsnummer|14052
Aufbau der Materie II (FW-EPM2)|Veranstaltungsart|Vorlesung
Aufbau der Materie II (FW-EPM2)|Dozent|Werner Köhler
Aufbau der Materie II (FW-EPM2)|Veranstaltung von|Experimentalphysik IV
Aufbau der Materie II (FW-EPM2)|Vorlesungsnummer|14053
Aufbau der Materie II (FW-EPM2)|Veranstaltungsart|Übung
Aufbau der Materie II (FW-EPM2)|Dozent|Werner Köhler
Aufbau der Materie II (FW-EPM2)|Veranstaltung von|Experimentalphysik IV
"Bachelor Seminar ""Ausgewählte Themen der Theoretischen Informatik"""|Vorlesungsnummer|12323
"Bachelor Seminar ""Ausgewählte Themen der Theoretischen Informatik"""|Veranstaltungsart|Seminar
"Bachelor Seminar ""Ausgewählte Themen der Theoretischen Informatik"""|Dozent|Wim Martens
"Bachelor Seminar ""Ausgewählte Themen der Theoretischen Informatik"""|Veranstaltung von|Theoretical Computer Science (AI VII
Bachelorpraktikum|Vorlesungsnummer|10126
Bachelorpraktikum|Veranstaltungsart|Praktikum
Bachelorpraktikum|Dozent|Jörg Rambau
Bachelorpraktikum|Veranstaltung von|Lehrstuhl Wirtschaftsmathematik
Bachelor-Praktikum: Algorithmen und Datenstrukturen|Vorlesungsnummer|12027
Bachelor-Praktikum: Algorithmen und Datenstrukturen|Veranstaltungsart|Praktikum
Bachelor-Praktikum: Algorithmen und Datenstrukturen|Dozent|Fabian Stehn
Bachelor-Praktikum: Algorithmen und Datenstrukturen|Veranstaltung von|Professur Angewandte Informatik VI
Bachelor-Praktikum: C++|Vorlesungsnummer|12101
Bachelor-Praktikum: C++|Veranstaltungsart|Praktikum
Bachelor-Praktikum: C++|Dozent|Lukas Sauer
Bachelor-Praktikum: C++|Veranstaltung von|Lehrstuhl Angewandte Informatik III
Bachelor-Praktikum (Entwicklung einer Kochrezepte App)|Vorlesungsnummer|12110
Bachelor-Praktikum (Entwicklung einer Kochrezepte App)|Veranstaltungsart|Praktikum
Bachelor-Praktikum (Entwicklung einer Kochrezepte App)|Dozent|Thomas Buchmann
Bachelor-Praktikum (Entwicklung einer Kochrezepte App)|Veranstaltung von|Lehrstuhl Angewandte Informatik I
Bachelor-Praktikum (INF 105; Datenbanken und Informationssysteme)|Vorlesungsnummer|12102
Bachelor-Praktikum (INF 105; Datenbanken und Informationssysteme)|Veranstaltungsart|Praktikum
Bachelor-Praktikum (INF 105; Datenbanken und Informationssysteme)|Dozent|Lars Ackermann
Bachelor-Praktikum (INF 105; Datenbanken und Informationssysteme)|Veranstaltung von|Lehrstuhl Angewandte Informatik IV
Bachelorpraktikum Mathematik|Vorlesungsnummer|10122
Bachelorpraktikum Mathematik|Veranstaltungsart|Praktikum
Bachelorpraktikum Mathematik|Dozent|Lars Grüne
Bachelorpraktikum Mathematik|Veranstaltung von|Lehrstuhl Angewandte Mathematik
Bachelor-Projekt (INF 106; Datenbanken und Informationssysteme)|Vorlesungsnummer|12121
Bachelor-Projekt (INF 106; Datenbanken und Informationssysteme)|Veranstaltungsart|Projekt
Bachelor-Projekt (INF 106; Datenbanken und Informationssysteme)|Dozent|Lars Ackermann
Bachelor-Projekt (INF 106; Datenbanken und Informationssysteme)|Veranstaltung von|Lehrstuhl Angewandte Informatik IV
Bachelor-Projekt (INF 106) (Entwicklung numerischer Softwaresysteme)|Vorlesungsnummer|12106
Bachelor-Projekt (INF 106) (Entwicklung numerischer Softwaresysteme)|Veranstaltungsart|Projekt
Bachelor-Projekt (INF 106) (Entwicklung numerischer Softwaresysteme)|Dozent|Matthias Korch
Bachelor-Projekt (INF 106) (Entwicklung numerischer Softwaresysteme)|Veranstaltung von|Lehrstuhl Angewandte Informatik II
Bachelor-Projekt (Robotik)|Vorlesungsnummer|00039
Bachelor-Projekt (Robotik)|Veranstaltungsart|Praktikum
Bachelor-Projekt (Robotik)|Dozent|Nico Höllerich
Bachelor-Projekt (Robotik)|Veranstaltung von|Lehrstuhl Angewandte Informatik III
Bachelor-Seminar: Algorithmen und Datenstrukturen|Vorlesungsnummer|12028
Bachelor-Seminar: Algorithmen und Datenstrukturen|Veranstaltungsart|Seminar
Bachelor-Seminar: Algorithmen und Datenstrukturen|Dozent|Christian Knauer
Bachelor-Seminar: Algorithmen und Datenstrukturen|Veranstaltung von|Professur Angewandte Informatik VI
Bachelor-Seminar (INF 104; Datenbanken und Informationssysteme)|Vorlesungsnummer|12113
Bachelor-Seminar (INF 104; Datenbanken und Informationssysteme)|Veranstaltungsart|Seminar
Bachelor-Seminar (INF 104; Datenbanken und Informationssysteme)|Dozent|Stefan Jablonski
Bachelor-Seminar (INF 104; Datenbanken und Informationssysteme)|Veranstaltung von|Lehrstuhl Angewandte Informatik IV
Bachelor-Seminar: Robotik und KI|Vorlesungsnummer|12112
Bachelor-Seminar: Robotik und KI|Veranstaltungsart|Seminar
Bachelor-Seminar: Robotik und KI|Dozent|Dominik Henrich
Bachelor-Seminar: Robotik und KI|Veranstaltung von|Lehrstuhl Angewandte Informatik III
Bachelor-Seminar (Speicherhierarchien)|Vorlesungsnummer|12115
Bachelor-Seminar (Speicherhierarchien)|Veranstaltungsart|Seminar
Bachelor-Seminar (Speicherhierarchien)|Dozent|Matthias Korch
Bachelor-Seminar (Speicherhierarchien)|Veranstaltung von|Lehrstuhl Angewandte Informatik II
Begleitveranstaltung zum studienbegleitenden fachdidaktischen Praktikum für das Lehramt an Gymnasien (FD-DIDP5)|Vorlesungsnummer|14611
Begleitveranstaltung zum studienbegleitenden fachdidaktischen Praktikum für das Lehramt an Gymnasien (FD-DIDP5)|Veranstaltungsart|Seminar
Begleitveranstaltung zum studienbegleitenden fachdidaktischen Praktikum für das Lehramt an Gymnasien (FD-DIDP5)|Dozent|Sigrid Weber
Begleitveranstaltung zum studienbegleitenden fachdidaktischen Praktikum für das Lehramt an Gymnasien (FD-DIDP5)|Veranstaltung von|Didaktik der Physik
Begleitveranstaltung zum studienbegleitenden fachdidaktischen Praktikum für das Lehramt an Realschulen (FD-DIDP8)|Vorlesungsnummer|14621
Begleitveranstaltung zum studienbegleitenden fachdidaktischen Praktikum für das Lehramt an Realschulen (FD-DIDP8)|Veranstaltungsart|Seminar
Begleitveranstaltung zum studienbegleitenden fachdidaktischen Praktikum für das Lehramt an Realschulen (FD-DIDP8)|Dozent|Sigrid Weber
Begleitveranstaltung zum studienbegleitenden fachdidaktischen Praktikum für das Lehramt an Realschulen (FD-DIDP8)|Veranstaltung von|Didaktik der Physik
Begleitveranstaltung zum studienbegleitenden fachdidaktischen Schulpraktikum Gymnasium|Vorlesungsnummer|11115
Begleitveranstaltung zum studienbegleitenden fachdidaktischen Schulpraktikum Gymnasium|Veranstaltungsart|Seminar
Begleitveranstaltung zum studienbegleitenden fachdidaktischen Schulpraktikum Gymnasium|Dozent|Sarah-Sofie Armbrust
Begleitveranstaltung zum studienbegleitenden fachdidaktischen Schulpraktikum Gymnasium|Veranstaltung von|Lehrstuhl Mathematik und ihre Didaktik
Biological Physics- Programming crash course|Vorlesungsnummer|00287
Biological Physics- Programming crash course|Veranstaltungsart|Übung
Biological Physics- Programming crash course|Dozent|Ingo Schelter
Biological Physics- Programming crash course|Veranstaltung von|Lehrstuhl für Mikrobiologie
Biological Physics Retreat|Vorlesungsnummer|14280
Biological Physics Retreat|Veranstaltungsart|Seminar
Biological Physics Retreat|Dozent|Stephan Kümmel
Biological Physics Retreat|Veranstaltung von|Lehrstuhl für Mikrobiologie
Biophysik A|Vorlesungsnummer|14035
Biophysik A|Veranstaltungsart|Vorlesung
Biophysik A|Dozent|Sander van Smaalen
Biophysik A|Veranstaltung von|Experimentalphysik I
"Blockseminar ""Diskrete Optimierung"""|Vorlesungsnummer|10518
"Blockseminar ""Diskrete Optimierung"""|Veranstaltungsart|Seminar
"Blockseminar ""Diskrete Optimierung"""|Dozent|Jörg Rambau
"Blockseminar ""Diskrete Optimierung"""|Veranstaltung von|Lehrstuhl Wirtschaftsmathematik
Codierungstheorie II|Vorlesungsnummer|10356
Codierungstheorie II|Veranstaltungsart|Vorlesung & Übung
Codierungstheorie II|Dozent|Michael Kiermaier
Codierungstheorie II|Veranstaltung von|Lehrstuhl Mathematik II – Computeralgebra
Computational methods for Biological systems|Vorlesungsnummer|00248
Computational methods for Biological systems|Veranstaltungsart|Seminar
Computational methods for Biological systems|Dozent|Johannes Förster
Computational methods for Biological systems|Veranstaltung von|Lehrstuhl für Mikrobiologie
Computergraphik I|Vorlesungsnummer|12100
Computergraphik I|Veranstaltungsart|Vorlesung
Computergraphik I|Dozent|Michael Guthe
Computergraphik I|Veranstaltung von|Professur Angewandte Informatik V
Computergraphik III|Vorlesungsnummer|12104
Computergraphik III|Veranstaltungsart|Vorlesung
Computergraphik III|Dozent|Michael Guthe
Computergraphik III|Veranstaltung von|Professur Angewandte Informatik V
Computersehen|Vorlesungsnummer|12153
Computersehen|Veranstaltungsart|Vorlesung
Computersehen|Dozent|Dominik Henrich
Computersehen|Veranstaltung von|Lehrstuhl Angewandte Informatik III
Computersimulation in der Biofluidik|Vorlesungsnummer|14327
Computersimulation in der Biofluidik|Veranstaltungsart|Seminar
Computersimulation in der Biofluidik|Dozent|Stephan Gekle
Computersimulation in der Biofluidik|Veranstaltung von|Biofluid Simulation and Modeling - Theoretische Physik VI - Prof. Dr. Stephan Gekle
Crystallography In Superspace|Vorlesungsnummer|10874
Crystallography In Superspace|Veranstaltungsart|Vorlesung & Übung
Crystallography In Superspace|Dozent|Andreas Schönleber
Crystallography In Superspace|Veranstaltung von|Lehrstuhl Kristallographie
Data Analysis II|Vorlesungsnummer|12212
Data Analysis II|Veranstaltungsart|Übung
Data Analysis II|Dozent|Nicolai Schützenmeier
Data Analysis II|Veranstaltung von|Lehrstuhl Angewandte Informatik IV
Data Analysis II|Vorlesungsnummer|12200
Data Analysis II|Veranstaltungsart|Vorlesung
Data Analysis II|Dozent|Stefan Jablonski
Data Analysis II|Veranstaltung von|Lehrstuhl Angewandte Informatik IV
Data Analytics – Intensivübung|Vorlesungsnummer|12211
Data Analytics – Intensivübung|Veranstaltungsart|Übung
Data Analytics – Intensivübung|Dozent|Lars Ackermann
Data Analytics – Intensivübung|Veranstaltung von|Lehrstuhl Angewandte Informatik IV
Datenbanken und Informationssysteme I - Intensivübung|Vorlesungsnummer|12007
Datenbanken und Informationssysteme I - Intensivübung|Veranstaltungsart|Übung
Datenbanken und Informationssysteme I - Intensivübung|Dozent|Nicolai Schützenmeier
Datenbanken und Informationssysteme I - Intensivübung|Veranstaltung von|Lehrstuhl Angewandte Informatik IV
Datenbanken und Informationssysteme I - Übungen|Vorlesungsnummer|12006
Datenbanken und Informationssysteme I - Übungen|Veranstaltungsart|Übung
Datenbanken und Informationssysteme I - Übungen|Dozent|Nicolai Schützenmeier
Datenbanken und Informationssysteme I - Übungen|Veranstaltung von|Lehrstuhl Angewandte Informatik IV
Datenbanken und Informationssysteme I (INF 114)|Vorlesungsnummer|12005
Datenbanken und Informationssysteme I (INF 114)|Veranstaltungsart|Vorlesung
Datenbanken und Informationssysteme I (INF 114)|Dozent|Stefan Jablonski
Datenbanken und Informationssysteme I (INF 114)|Veranstaltung von|Lehrstuhl Angewandte Informatik IV
Denken in Strukturen II|Vorlesungsnummer|10820
Denken in Strukturen II|Veranstaltungsart|Vorlesung & Übung
Denken in Strukturen II|Dozent|Wolfgang Neidhardt
Denken in Strukturen II|Veranstaltung von|Lehrstuhl Mathematik und ihre Didaktik
Didaktik der Analysis|Vorlesungsnummer|11206
Didaktik der Analysis|Veranstaltungsart|Seminar
Didaktik der Analysis|Dozent|Volker Ulm
Didaktik der Analysis|Veranstaltung von|Lehrstuhl Mathematik und ihre Didaktik
Diffusion in Vesikeln|Vorlesungsnummer|14303
Diffusion in Vesikeln|Veranstaltungsart|Seminar
Diffusion in Vesikeln|Dozent|Thomas Fischer
Diffusion in Vesikeln|Veranstaltung von|Experimentalphysik X
Diffusiver Transport|Vorlesungsnummer|00929
Diffusiver Transport|Veranstaltungsart|Seminar
Diffusiver Transport|Dozent|Werner Köhler
Diffusiver Transport|Veranstaltung von|Experimentalphysik IV
Disputation|Vorlesungsnummer|12368
Disputation|Veranstaltungsart|Kolloquium
Disputation|Dozent|Michael Guthe
Disputation|Veranstaltung von|Professur Angewandte Informatik V
Disputation|Vorlesungsnummer|12014
Disputation|Veranstaltungsart|Kolloquium
Disputation|Dozent|Jörg Müller
Disputation|Veranstaltung von|Lehrstuhl für Serious Games
Efficient Numerical Treatment of Multiscale Problems|Vorlesungsnummer|10204
Efficient Numerical Treatment of Multiscale Problems|Veranstaltungsart|Vorlesung & Übung
Efficient Numerical Treatment of Multiscale Problems|Dozent|Vadym Aizinger
Efficient Numerical Treatment of Multiscale Problems|Veranstaltung von|Professur für  Numerik partieller Differentialgleichungen
Einführung in die Algebra|Vorlesungsnummer|10101
Einführung in die Algebra|Veranstaltungsart|Vorlesung & Übung
Einführung in die Algebra|Dozent|Michael Dettweiler
Einführung in die Algebra|Veranstaltung von|Lehrstuhl Mathematik IV – Zahlentheorie
Einführung in die Astronomie und Astrophysik: Das Planetensystem|Vorlesungsnummer|14806
Einführung in die Astronomie und Astrophysik: Das Planetensystem|Veranstaltungsart|Vorlesung
Einführung in die Astronomie und Astrophysik: Das Planetensystem|Dozent|Thomas Vogtmann
Einführung in die Astronomie und Astrophysik: Das Planetensystem|Veranstaltung von|Experimentalphysik II
Einführung in die Computeralgebra|Vorlesungsnummer|10116
Einführung in die Computeralgebra|Veranstaltungsart|Vorlesung & Übung
Einführung in die Computeralgebra|Dozent|Michael Stoll
Einführung in die Computeralgebra|Veranstaltung von|Lehrstuhl Mathematik II – Computeralgebra
Einführung in die Fusionsforschung|Vorlesungsnummer|14083
Einführung in die Fusionsforschung|Veranstaltungsart|Vorlesung
Einführung in die Fusionsforschung|Dozent|Wolfgang Suttrop
Einführung in die Fusionsforschung|Veranstaltung von|Theoretische Physik V
Einführung in die Geometrie: Differentialgeometrie und Topologie|Vorlesungsnummer|10104
Einführung in die Geometrie: Differentialgeometrie und Topologie|Veranstaltungsart|Vorlesung & Übung
Einführung in die Geometrie: Differentialgeometrie und Topologie|Dozent|Michael Lönne
Einführung in die Geometrie: Differentialgeometrie und Topologie|Veranstaltung von|Lehrstuhl Mathematik VIII – Algebraische Geometrie
Einführung in die Höhere Analysis|Vorlesungsnummer|10108
Einführung in die Höhere Analysis|Veranstaltungsart|Vorlesung & Übung
Einführung in die Höhere Analysis|Dozent|Gerhard Rein
Einführung in die Höhere Analysis|Veranstaltung von|Professur Angewandte Mathematik
Einführung in die Optimierung|Vorlesungsnummer|10111
Einführung in die Optimierung|Veranstaltungsart|Vorlesung & Übung
Einführung in die Optimierung|Dozent|Jörg Rambau
Einführung in die Optimierung|Veranstaltung von|Lehrstuhl Wirtschaftsmathematik
Einführung in die Statistik|Vorlesungsnummer|10113
Einführung in die Statistik|Veranstaltungsart|Vorlesung & Übung
Einführung in die Statistik|Dozent|Melanie Birke
Einführung in die Statistik|Veranstaltung von|Professur Mathematische Statistik
Einführungsveranstaltung für Erstsemester B.Sc. Informatik und B.Sc. Angewandte Informatik|Vorlesungsnummer|00123
Einführungsveranstaltung für Erstsemester B.Sc. Informatik und B.Sc. Angewandte Informatik|Veranstaltungsart|Vorlesung
Einführungsveranstaltung für Erstsemester B.Sc. Informatik und B.Sc. Angewandte Informatik|Dozent|Dominik Henrich
Einführungsveranstaltung für Erstsemester B.Sc. Informatik und B.Sc. Angewandte Informatik|Veranstaltung von|Lehrstuhl Angewandte Informatik III
Electronic excitations in light-converting systems|Vorlesungsnummer|00079
Electronic excitations in light-converting systems|Veranstaltungsart|Seminar
Electronic excitations in light-converting systems|Dozent|Linn Leppert
Electronic excitations in light-converting systems|Veranstaltung von|ENB - Internationale Nachwuchsgruppe
Elektronische und holographische Methoden an organischen Festkörpern|Vorlesungsnummer|14315
